id,date,datetime,category,headline,summary,source,url,related,image
7671440,2026-03-20 20:57:55,1774040275,top news,Super Micro co-founder indicted on Nvidia smuggling charges leaves board,"Super Micro said Yih-Shyan ""Wally"" Liaw, a co-founder, has resigned from the server maker's board after he was indicted in the U.S.",CNBC,https://www.cnbc.com/2026/03/20/super-micro-co-founder-leaves-board.html,,https://image.cnbcfm.com/api/v1/image/108281187-1774039437417-gettyimages-2188260482-avils-notitle241207_npvVN.jpeg?v=1774039473&w=1920&h=1080
7671649,2026-03-20 18:54:42,1774032882,business,"Wall St Week Ahead Persistent Iran war, energy price surge set to sway wavering stocks - Reuters","Wall St Week Ahead Persistent Iran war, energy price surge set to sway wavering stocks  Reuters",Reuters,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNMXpCQnZlZDV4QmVnU1lKU3ZxRlhZVEg1Q1VlM01BLWhiLUtzeHJVdlRzazcwSDNLdVlvZC1mLWEtT1NSYlZnVE0zNVlzekZQbS13OVgyemVicEtNZEhyZGpHMnZwcnh6R25ZaUdSQmtLdng3UEsyNVZ1d0RTQkNpUHNkaS1CbFhYYU1JZ1hiMUF1aUQxNW1ta0NZcjVOWlVoQTh2aHNJWEFKTDViVl9YVXdCallnSmRMVzVIb0RpdjA?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7671442,2026-03-20 18:17:57,1774030677,business,"Exclusive: Iraq declares force majeure on foreign-operated oilfields over Hormuz disruption, sources say - Reuters","Exclusive: Iraq declares force majeure on foreign-operated oilfields over Hormuz disruption, sources say  Reuters",Reuters,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOdWxHRGNTTnpjZlUxTS12aU9UalFlaWtfblctTVluZFJlaTFyRU9SWGM0d3FtZVAwTEpQaWhqT09iUWpaLUNSbkt1eXJlVnB3UmRGUlZ5QjZYSEhOTGNGWHZ3TmJMY3UzSk42azZ5dlo1MmhsSnBybnJuNERfbnpNSmNINTFBOTZEb0FUUlFwNk5HTGhFa2xremlnQUNjUlVGS29uVkctZUhJeTVZaVNUQ19kMi0xUWVyeXVscVVRR0x3TktfTGJUbg?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670813,2026-03-20 18:12:21,1774030341,top news,We're upgrading our rating on Honeywell — plus 2 positions we'd like to build up,"Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.",CNBC,https://www.cnbc.com/2026/03/20/were-upgrading-honeywell-plus-2-positions-wed-like-to-build-up.html,,https://image.cnbcfm.com/api/v1/image/108279590-1773844635516-gettyimages-2266677324-AFP_A3RK8AG.jpeg?v=1773948883&w=1920&h=1080
7671235,2026-03-20 18:02:18,1774029738,business,UK approves US use of British bases to strike Iran missile sites targeting ships - Reuters,UK approves US use of British bases to strike Iran missile sites targeting ships  Reuters,Reuters,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQVzkwcERqWEFrVDk5YmNCM0hXMHhxRThYYXp0cVFXQ2p3dm1KRmFtZUY1NEZWQVNWQy0yZzJ2eldPaXRIdUVBcFJtRU9KTTV4d092aWlKU1dBSVE3b2lLemFYM29PTVprS1ZqUl9QMDRROHV2MGhCakNEcHVTaVllZnFPNHBvZlhBdXFnNFFHR0VTN3dTNEsxM0VyZ1VVU0ZBTGtKMmZwNGxMYXI3ZGU1UmZHc05OSTZkR0JvUG9RSHF5eXNybTczbERLTmdrRkFlaWNR?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7671341,2026-03-20 17:13:39,1774026819,business,Former Iranian water polo player Soleimani distraught over wrestler's execution - Reuters,Former Iranian water polo player Soleimani distraught over wrestler's execution  Reuters,Reuters,https://news.google.com/rss/articles/CBMivAFBVV95cUxNSjNKUC1kcXdUaW56QVJ0WF9WdzRIdFl6c1ozNVItT3J0SzNhVWZHTWFPUTdGaGMtM0tfOEZNOUJKSF9CVTVtNHQzb0htc0p2MG0xX0tvbVJwLU94c3BNMzVZM1JFM3lVUW5zVVJ2QkZscTB1WlJrRzIxdWRwVC10M0QwSFpFRnlXMWo4V2x2b01SR05YenphZTFlSXY5XzgwMmdkQmtkeDl5RS1ycjhRZFhRalNZcDMzX2FHdA?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670816,2026-03-20 16:43:20,1774025000,business,Exclusive: Qatar's energy boss says he had warned of dangers of provoking Iran - Reuters,Exclusive: Qatar's energy boss says he had warned of dangers of provoking Iran  Reuters,Reuters,https://news.google.com/rss/articles/CBMisgFBVV95cUxNQkdsT01yRXRwQ2kteUFTSHZhc3VNUlN2TElyY3NlYTd1QjZsQU1zb2I4Xy1xWUZqVnV6a0FDaGVILWpOMnl4VzNkTlV4dTVQd2NoTkVwcmozMzlQcE5manJsMm5rUjJ4TkZrcmQ2NDg0dTVlVzRBUUFBbFlIc2o5N1VpeWRLRkJWR1N3aDQxQ0NqcUwtWElwNnhoNGt2eGZQa3FpVEFYVnBfbVB2VGNKdGNn?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7671020,2026-03-20 16:37:03,1774024623,business,How hard would it be to stop Iran's missile threat? - Reuters,How hard would it be to stop Iran's missile threat?  Reuters,Reuters,https://news.google.com/rss/articles/CBMirgFBVV95cUxOazRsVTl2RnhNTjJaVjRHQkd3SVhhOUpOZk1yTFJ1bEVrUlZ5UFJzUXhSYnpaZVlHMXdHeE1QeW1LQkN0S0dTdzgxc0taSTJqejM3VUZLdVhNRVlncUhnaE1BejNDcURvUGhlaFRjRFBaMUNDcURXV0NubTJqVjE0cS1YemlCMkRZQ3E1R0R4dDVVTGloWEtzV3h4aDdGOUhtRmh2WWo3ejRZb09OV1E?oc=5,,https://static2.finnhub.io/file/finnhub/logo/reuters_logo.jpeg
7670495,2026-03-20 16:24:18,1774023858,business,"The spring housing market is on, but mortgage rates just shot higher. Here's what to know.","This spring's housing market is on, but economic headwinds are pushing back most of the advantage that buyers have gained over the past year in affordability.",CNBC,https://www.cnbc.com/2026/03/20/spring-housing-market-mortgage-rates.html,,https://image.cnbcfm.com/api/v1/image/108251173-1768230550905-gettyimages-2255399335-FLORIDA_OPEN_HOUSES.jpeg?v=1768230638&w=1920&h=1080
7670499,2026-03-20 16:22:05,1774023725,top news,Jim Cramer says this AI leader is a tough stock to own right now — what to do next,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",CNBC,https://www.cnbc.com/2026/03/20/jim-cramer-says-this-ai-leader-is-a-tough-stock-to-own-right-now.html,,https://image.cnbcfm.com/api/v1/image/108279787-1773856963026-gettyimages-2266693711-NVIDIA_GTC.jpeg?v=1773857028&w=1920&h=1080
